//0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
//当前等级,升级等级,称号名称,元宝,倍功,攻击,爆率,生命,奖励跨服积分,特效ID,偏移X,偏移Y,地图,升级限制,限制提示
0,1,初入江湖,200000,10,100,10,10,1000,10002,170,80,rxsc042,2,你已经是个成熟的玩家啦！请前往<font color='#eaff56'>【蓝色庄园】</font>强大自己！！
1,2,展露头角,200000,20,200,20,15,1000,10003,170,80,jyt01,3,当前称号已到此地图满级。
2,3,江湖少侠,200000,30,300,30,17,1000,10001,170,80,jyt02,6,当前称号已到此地图满级。
3,4,武林豪杰,200000,40,400,40,19,1000,10004,170,80,jyt03,9,当前称号已到此地图满级。
4,5,侠骨柔情,200000,50,500,50,21,1000,10005,170,80,jyt04,12,当前称号已到此地图满级。
5,6,名动江湖,300000,60,600,60,23,1500,10006,170,80,jyt05,15,当前称号已到此地图满级。
6,7,叱诧风云,300000,70,700,70,25,1500,10007,170,80,jyt06,18,当前称号已到此地图满级。
7,8,赤胆雄心,300000,90,800,90,27,1500,10008,170,80,jyt07,26,当前称号已到此地图满级。
8,9,威震八方,600000,90,900,90,29,3000,10009,170,80,jyt08,30,当前称号已到此地图满级。
9,10,一代宗师,600000,100,1000,100,31,3000,10010,170,80,jyt09,32,当前称号已到此地图满级。
10,11,横扫千军,600000,110,1100,110,33,3000,10011,170,80,,,
11,12,剑舞风行,800000,120,1200,120,35,4000,10012,170,80,,,
12,13,傲视群雄,800000,130,1300,130,37,4000,10013,170,80,,,
13,14,独领风骚,800000,140,1400,140,39,4000,10014,170,80,,,
14,15,笑傲江湖,1200000,150,1500,150,41,6000,10015,170,80,,,
15,16,天下无双,2200000,160,1600,160,43,6000,10016,170,80,,,
16,17,雄霸天下,2200000,170,1700,170,45,6000,10017,170,80,,,
17,18,战神归来,2200000,180,1800,180,47,11000,10018,170,80,,,
18,19,独孤求败,3200000,190,1900,190,49,11000,10019,170,80,,,
19,20,永恒霸主,3200000,200,2000,200,51,11000,10020,170,80,,,
20,21,天煞孤星,3200000,210,2100,210,53,50000,10021,170,80,,,
21,22,逆天改命,3200000,220,2200,220,55,50000,10022,170,80,,,
22,23,武定乾坤,5888888,230,2300,230,57,100000,10023,170,80,,,
23,24,修罗万象,8888888,240,2400,240,59,300000,10024,170,80,,,
24,25,剑指苍穹,8888888,250,2500,250,61,400000,10025,170,80,,,
25,26,破天轩辕,28888888,260,2600,260,63,500000,10026,170,80,,,
26,27,出神入化,58888888,270,2700,270,65,600000,10027,170,80,,,
27,28,毁天灭地,68888888,280,2800,280,67,700000,10028,170,80,,,
28,29,玛法主宰,88888888,290,2900,290,69,900000,10029,170,80,,,
29,30,问鼎诛仙,99999999,300,3000,300,75,900000,10030,170,80,,,
30,31,众生俯仰,200000000,310,3100,310,80,900000,10031,170,80,,,
31,32,一念三千,300000000,320,3200,320,90,900000,10032,170,80,,,
