//装备名字,奖励名额,奖励金额,奖励货币,领取角色
天·井中月[青锋],30,1,充值,未领取
天·井中月[寒霜],29,1,充值,未领取
天·井中月[紫电],28,1,充值,未领取
天·井中月[霓裳],27,1,充值,未领取
天·井中月[龙吟],26,1,充值,未领取
天·命运之刃,25,1,充值,未领取
天·命运之刃[青锋],24,1,充值,未领取
天·命运之刃[寒霜],23,1,充值,未领取
天·命运之刃[紫电],22,1,充值,未领取
天·命运之刃[霓裳],21,1,充值,未领取
天·命运之刃[龙吟],20,2,充值,未领取
天·屠龙,19,2,充值,未领取
天·屠龙[青锋],18,2,充值,未领取
天·屠龙[寒霜],17,2,充值,未领取
天·屠龙[紫电],16,2,充值,未领取
天·屠龙[霓裳],15,2,充值,未领取
天·屠龙[龙吟],14,2,充值,未领取
天·开天,13,2,充值,未领取
天·开天[青锋],12,2,充值,未领取
天·开天[寒霜],11,2,充值,未领取
天·开天[紫电],10,3,充值,未领取
天·开天[霓裳],9,3,充值,未领取
天·开天[龙吟],8,3,充值,未领取
天·火龙之刃,7,3,充值,未领取
天·火龙之刃[青锋],6,3,充值,未领取
天·火龙之刃[寒霜],5,3,充值,未领取
天·火龙之刃[紫电],4,3,充值,未领取
天·火龙之刃[霓裳],3,3,充值,未领取
天·火龙之刃[龙吟],3,3,充值,未领取
天·绿玉裁决,3,3,充值,未领取
天·绿玉裁决[青锋],3,4,充值,未领取
天·绿玉裁决[寒霜],3,4,充值,未领取
天·绿玉裁决[紫电],3,4,充值,未领取
天·绿玉裁决[霓裳],3,4,充值,未领取
天·绿玉裁决[龙吟],3,4,充值,未领取
天·绿玉屠龙,3,4,充值,未领取
天·绿玉屠龙[青锋],3,4,充值,未领取
天·绿玉屠龙[寒霜],3,4,充值,未领取
天·绿玉屠龙[紫电],3,4,充值,未领取
天·绿玉屠龙[霓裳],3,4,充值,未领取
天·绿玉屠龙[龙吟],2,5,充值,未领取
天·梦幻之刃,2,5,充值,未领取
天·梦幻之刃[青锋],2,5,充值,未领取
天·梦幻之刃[寒霜],2,5,充值,未领取
天·梦幻之刃[紫电],2,5,充值,未领取
天·梦幻之刃[霓裳],2,5,充值,未领取
天·梦幻之刃[龙吟],2,5,充值,未领取
天·海边月,2,5,充值,未领取
天·海边月[青锋],2,5,充值,未领取
天·海边月[寒霜],2,5,充值,未领取
天·海边月[紫电],1,6,充值,未领取
天·海边月[霓裳],1,6,充值,未领取
天·海边月[龙吟],1,6,充值,未领取
天·风云斩,1,6,充值,未领取
天·风云斩[青锋],1,6,充值,未领取
天·风云斩[寒霜],1,6,充值,未领取
天·风云斩[紫电],1,6,充值,未领取
天·风云斩[霓裳],1,6,充值,未领取
天·风云斩[龙吟],1,6,充值,未领取
天·鬼斩,1,6,充值,未领取
天·鬼斩[青锋],1,7,充值,未领取
天·鬼斩[寒霜],1,7,充值,未领取
天·鬼斩[紫电],1,7,充值,未领取
天·鬼斩[霓裳],1,7,充值,未领取
天·鬼斩[龙吟],1,7,充值,未领取
